pearson,pearson_de,pearson_delta,pearson_de_delta,spearman,spearman_de,spearman_delta,spearman_de_delta,mse,mse_de,mse_delta,mse_de_delta,rmse,rmse_de,rmse_delta,rmse_de_delta,seed
0.8877862106588237,0.0,0.41990524383467165,0.419247660994616,0.58475460979329,0.0,0.3565703476092875,0.31750805585392045,0.011393939144909382,0.05575307831168175,0.011393938809973218,0.055753074152860724,0.106742396192466,0.2361208976598254,0.10674239462356659,0.23612088885327517,1
0.7346800105649571,0.0,-0.12100550532696593,-0.2146154955576625,0.2507265090782083,0.0,-0.014995879199829485,-0.17841031149301825,0.03159406781196594,0.3712255656719208,0.03159406576063962,0.3712255531536304,0.17774720198069488,0.6092828289652686,0.17774719621034707,0.609282818692297,2
0.8575263415708739,0.0,0.32021810533179457,0.023998869314385423,0.4620550189472084,0.0,0.2654209538716558,0.026100966702470463,0.015274838544428349,0.18196521699428558,0.015274838012023492,0.18196522550895258,0.12359141776202888,0.4265738118945953,0.12359141560813798,0.42657382187489257,3
0.8006639859331911,0.0,0.4411643768591622,0.34027669152340906,0.3984780392669737,0.0,0.38351144758161027,0.2718582169709989,0.022898763418197632,0.18020141124725342,0.022898762578922236,0.18020141637417447,0.1513233736677769,0.42450136778019154,0.15132337089465803,0.42450137381894826,4
0.6650795005031395,0.0,0.3209803972073278,0.34287619339594183,0.2908066423173512,0.0,0.31289149992286613,0.15553168635875406,0.041470762342214584,0.15559783577919006,0.041470760952103274,0.15559785344011443,0.20364371422220373,0.394458915198009,0.20364371080910718,0.3944589375842743,5
0.7095837887727401,0.0,-0.29298756562011885,-0.21153824421984632,0.5251906088126173,0.0,-0.28565180910918087,-0.0983888292158969,0.03194696456193924,0.3341233730316162,0.031946963580041,0.3341233806987368,0.17873713817206327,0.5780340587124744,0.17873713542529712,0.5780340653445407,6
0.8483083837765886,0.0,0.37774901495275665,0.1065516592300382,0.3158122298702903,0.0,0.3023080487090307,0.12126745435016108,0.01902814768254757,0.1552368849515915,0.019028150051471227,0.15523690010038765,0.13794255210973722,0.39400112303341406,0.1379425606963682,0.39400114225771943,7
0.7801739507638664,0.0,0.03206040960976218,-0.17968210978563678,0.3258607330047362,0.0,0.09032781541170189,-0.1571428571428571,0.02503354288637638,0.2577070891857147,0.02503354193182325,0.2577071094844799,0.15821991937292973,0.507648588282992,0.15821991635639063,0.5076486082759214,8
0.7263836266947373,0.0,-0.33786050274359186,-0.21440353984343827,0.45482374274285997,0.0,-0.2433663282513447,-0.11825993555316863,0.02851335145533085,0.3646375238895416,0.028513353311377103,0.36463752285372836,0.16885896912906595,0.6038522368009757,0.16885897462491326,0.6038522359433045,9
0.9072307887332789,0.0,0.6036844920348222,0.4393956727361992,0.599143397886013,0.0,0.47380589146436386,0.3516648764769065,0.009593683294951916,0.14162896573543549,0.009593683691309961,0.14162898500648127,0.09794734960657137,0.3763362402631927,0.09794735162989329,0.3763362658666864,10
