,pearson,pearson_delta,pearson_de,pearson_de_delta,spearmanr,spearmanr_delta,spearmanr_de,spearmanr_de_delta,rmse,rmse_delta,rmse_de,rmse_de_delta,mae,mae_delta,mae_de,mae_de_delta
mean,0.9191398714364336,0.5023528144188328,0.46917746649282294,0.6791356333395518,0.914000623945088,0.45479487888209735,0.39687310427645917,0.6484389708036324,0.08662720828593676,0.08662720828593676,0.29085496699878777,0.2908549669987877,0.0361048806255324,0.0361048806255324,0.2291101487330991,0.2291101487330991
std,0.006201695937274537,0.11091478237585436,0.14405958646192515,0.10306927794711152,0.0031089309241407533,0.07838581819160857,0.10506433564373865,0.11196404645793426,0.00443379925283212,0.00443379925283212,0.04078409867176872,0.040784098671768715,0.0015361443962109882,0.0015361443962109882,0.035026133756084474,0.035026133756084474
