pearson,pearson_delta,pearson_de,pearson_de_delta,spearmanr,spearmanr_delta,spearmanr_de,spearmanr_de_delta,rmse,rmse_delta,rmse_de,rmse_de_delta,mae,mae_delta,mae_de,mae_de_delta,seed
0.9182687372244451,0.5362770381083597,0.6600863946430111,0.5525279965249519,0.9133960815214746,0.4818973807951382,0.5257344794437182,0.5332706766917292,0.08508244500062188,0.08508244500062188,0.2939101187846652,0.2939101187846652,0.03617452006484999,0.03617452006484999,0.23355713937195363,0.23355713937195363,1
0.920404402454195,0.5119620269361526,0.41846561644997776,0.8448980717558605,0.9111360605771057,0.45186897668474957,0.26818604379949745,0.8399570354457572,0.08838502627209086,0.08838502627209086,0.24542717976144324,0.24542717976144324,0.036956784640424095,0.036956784640424095,0.19651536012242124,0.19651536012242124,2
0.909071940955864,0.6772688953109012,0.25684358439077193,0.8026339159740349,0.9107472226213104,0.5826269516962793,0.2794951229789786,0.7807245386192755,0.0919358877742315,0.0919358877742315,0.3330240317907285,0.3330240317907285,0.03843059833562182,0.03843059833562182,0.26911833966277493,0.26911833966277493,3
0.9116567728401226,0.32377825619080797,0.4724217091218372,0.5696047099993833,0.914797447015688,0.3356799063519501,0.4036685550047093,0.5535505430242271,0.09056864417533346,0.09056864417533346,0.27259095478216605,0.27259095478216605,0.03671453199462033,0.03671453199462033,0.21125292729243703,0.21125292729243703,4
0.9250644655562963,0.447753059157661,0.4395384113821995,0.6591191691696384,0.9203654389138194,0.44062015019980133,0.41558740413237133,0.6018379281537176,0.08349177902119996,0.08349177902119996,0.2142451672809748,0.2142451672809748,0.03380667061440389,0.03380667061440389,0.16326064868571627,0.16326064868571627,5
0.9284208870585154,0.5858822012338406,0.5901968216461458,0.6643260988160341,0.9135384597863712,0.5000942837655615,0.5209782689852767,0.6472431077694235,0.07708458011783396,0.07708458011783396,0.32220176447889526,0.32220176447889526,0.0336474022960405,0.0336474022960405,0.25523386658691893,0.25523386658691893,6
0.9197647244610118,0.45755086329819117,0.3881076815456316,0.6473741146690489,0.9128969549369497,0.41166423022999726,0.33148800471364337,0.5998496240601503,0.08949001763980179,0.08949001763980179,0.32765680795011676,0.32765680795011676,0.03683656700266472,0.03683656700266472,0.25358523099103863,0.25358523099103863,7
0.9223948851411249,0.6097159887876831,0.28920180233526965,0.7925620096817517,0.9108165700562019,0.5376711406089653,0.26938287205704536,0.7555707450444292,0.08595215123415183,0.08595215123415183,0.33247384927859286,0.33247384927859286,0.03602958900510388,0.03602958900510388,0.26844175609782017,0.26844175609782017,8
0.9232920746573324,0.5228970963171656,0.4891543362001896,0.6809409082363452,0.9178627917538412,0.4648052789526795,0.43709514104222785,0.6656185919343813,0.08416904077897494,0.08416904077897494,0.30273452151491775,0.3027345215149177,0.035035472219890576,0.035035472219890576,0.2389309233082287,0.2389309233082287,9
0.9130598240154293,0.35044271884756545,0.6877583072131949,0.5773693385684692,0.9144492122681193,0.3410204895358509,0.5171151506071232,0.506766917293233,0.09011251084512746,0.09011251084512746,0.2642852743653769,0.2642852743653769,0.03741667008170424,0.03741667008170424,0.20120529521168182,0.20120529521168182,10
