pearson,pearson_de,pearson_delta,pearson_de_delta,spearmanr,spearmanr_de,spearmanr_delta,spearmanr_de_delta,rmse,rmse_de,rmse_delta,rmse_de_delta,mae,mae_de,mae_delta,mae_de_delta,seed
0.905024000063644,0.7803996070054362,0.4118718069385068,0.6671830235512831,0.8894666364261816,0.6104022874922328,0.2774292395142292,0.6458646616541353,0.0433208406964685,0.280026146956864,0.0433208405142055,0.2800261454551259,0.0195294672157615,0.2334454380907118,0.0195294669829309,0.2334454343654215,1
0.9176950322748396,0.8397067941578773,0.2279837310336063,0.594450651192405,0.8910537887592132,0.6649862576213594,0.2041510404649597,0.5728383458646616,0.0424693763351353,0.3263080406508356,0.0424693764226687,0.326308038909918,0.0185953676700592,0.2683038129471242,0.0185953676700592,0.2683038176037371,2
0.8737413867476771,0.8177793680580216,0.5970832122248566,0.7681857471412228,0.8794550808514462,0.5765731790909402,0.3891457992669442,0.7412593984962406,0.0484171363471285,0.3510449161741967,0.048417135965882,0.3510449137942608,0.0212718026014044,0.3009419878944754,0.0212718027178198,0.3009419841691851,3
0.9095335450509616,0.7403403708635855,0.4316827826313549,0.566081293678788,0.8781681068509667,0.6165138017641313,0.3384822214600975,0.5159774436090225,0.041865997267354,0.2938054142941596,0.0418659975462137,0.2938054128757127,0.0191249135532416,0.2460314123891294,0.0191249135532416,0.2460314147174358,4
0.9248224390192324,0.8024819368824194,0.4410060351644083,0.6978235785280706,0.8989373299387567,0.6367105832421056,0.324629232888406,0.6928320802005012,0.0386973368021479,0.2692411150148347,0.0386973365422502,0.2692411150148347,0.0173765423397223,0.2183965692917505,0.0173765423397223,0.2183965692917505,5
0.9016596333794537,0.831994745896784,0.4339378896492922,0.4779791943547451,0.890564582845773,0.5677959381843202,0.3083614376649722,0.4904135338345864,0.0437572013631068,0.3201506153256609,0.043757201767906,0.32015061498728,0.0193147237296216,0.2617770382203161,0.0193147237296216,0.2617770391516387,6
0.8431371421102745,0.3956802389979966,0.5606102563952552,0.7087420770232501,0.7428600225213009,0.3660132137268147,0.4155330350274568,0.7009398496240601,0.0521889807743603,0.1715449563750737,0.0521889809970521,0.1715449541835582,0.0271968839224427,0.1192132020369172,0.0271968839224427,0.1192132004071027,7
0.8518892836888533,0.6226222225615365,0.3524101380447286,0.0428379480414897,0.8543765144015156,0.3997929236047221,0.2590594740910719,0.1549874686716791,0.0519832976541068,0.3662910960768848,0.0519832979040546,0.3662910952559547,0.0227435783793528,0.2989753261208534,0.0227435783793528,0.2989753261208534,8
0.906080039545185,0.7384784522818215,0.5303893046909616,0.6225014591274896,0.8873733627727667,0.5506354115681525,0.3977349551813722,0.5788471177944862,0.0427938963533486,0.2912291374494335,0.0427938963987235,0.2912291411909318,0.0189669718965888,0.2395401609440644,0.0189669715240597,0.2395401619374752,9
0.8765243025985949,0.7432273783375705,0.327461796202718,0.4449190337365637,0.891261896983593,0.6320802992761043,0.2083509923326235,0.4832706766917293,0.0464663464439676,0.3619289739950647,0.0464663464439676,0.3619289718102735,0.019992678600829,0.3135440703481436,0.019992678600829,0.313544069416821,10
